Employee_ID,Name,Department,Salary,Joining_Date,Gender,Performance_Score,Overtime_Hours,Projects_Handled,Promotion_Last_3Years,Years_at_Company,Years_at_Company2,promotion,Join_Year
1001,Employee_0,Finance,98840.0,2016-10-01,Unknown,Poor,31.0,7.2631578947368425,1.0,8,9,no,2016
1002,Employee_1,Finance,81005.0,2023-07-02,Other,Excellent,47.0,7.0,0.0,2,2,no,2023
1003,Employee_2,Operations,92003.0,2022-06-28,Male,Poor,26.864864864864863,4.0,0.0,3,3,no,2022
1004,Employee_3,Operations,95318.0,2016-04-04,Unknown,Average,0.0,6.0,0.0,9,9,no,2016
1005,Employee_4,HR,53664.0,2017-08-12,Other,Poor,38.0,8.0,0.0,8,8,no,2017
1006,Employee_5,Marketing,56736.0,2016-04-14,Unknown,Good,4.0,13.0,0.0,9,9,yes,2016
1007,unknown,Finance,30854.0,2017-11-11,Female,Good,2.0,13.0,0.0,7,8,yes,2017
1008,Employee_7,Finance,37392.0,2022-08-29,Male,Average,15.0,8.0,1.0,2,3,no,2022
1009,Employee_8,Sales,76717.0,2019-08-21,Female,Excellent,26.864864864864863,10.0,0.0,6,6,yes,2019
1010,Employee_9,HR,80859.0,2020-09-16,Other,Good,26.864864864864863,7.2631578947368425,0.0,4,5,no,2020
1011,unknown,Marketing,56309.0,2021-03-27,Female,none,27.0,7.2631578947368425,0.0,4,4,no,2021
1012,Employee_11,HR,100467.0,2016-07-16,Female,Good,26.864864864864863,2.0,0.0,9,9,no,2016
1013,Employee_12,Sales,70617.87234042553,2021-10-21,Other,Good,26.864864864864863,7.2631578947368425,0.0,3,4,no,2021
1014,Employee_13,IT,42688.0,2019-12-05,Unknown,Excellent,4.0,13.0,0.0,5,6,yes,2019
1015,Employee_14,IT,97863.0,2020-09-05,Female,Poor,25.0,3.0,0.0,4,5,no,2020
1016,Employee_15,IT,95733.0,2015-08-14,Unknown,Good,20.0,14.0,1.0,10,10,yes,2015
1017,Employee_16,Finance,110623.0,2017-03-08,Female,Average,32.0,7.2631578947368425,0.0,8,8,no,2017
1018,Employee_17,HR,72107.0,2021-05-20,Unknown,Poor,36.0,7.2631578947368425,0.0,4,4,no,2021
1019,Employee_18,Finance,81663.0,2023-01-05,Other,none,9.0,3.0,0.0,2,2,no,2023
1020,Employee_19,Operations,70617.87234042553,2017-08-17,Female,Excellent,35.0,3.0,0.0,8,8,no,2017
1021,Employee_20,IT,86250.0,2019-02-13,Other,none,26.864864864864863,8.0,0.0,6,6,no,2019
1022,Employee_21,Operations,64754.0,2016-03-28,Female,Poor,18.0,7.2631578947368425,1.0,9,9,no,2016
1023,Employee_22,HR,41411.0,2023-05-26,Other,Poor,0.0,9.0,0.0,2,2,no,2023
1024,Employee_23,Operations,113763.0,2017-03-26,Other,Poor,44.0,7.2631578947368425,1.0,8,8,no,2017
1025,Employee_24,Marketing,113879.0,2016-10-20,Female,none,26.864864864864863,4.0,0.0,8,9,no,2016
1026,Employee_25,Operations,41111.0,2016-06-30,Female,Poor,26.864864864864863,12.0,0.0,9,9,no,2016
1027,Employee_26,HR,38155.0,2018-04-30,Female,none,48.0,1.0,0.0,7,7,no,2018
1028,Employee_27,Finance,77254.0,2023-07-18,Male,Poor,31.0,8.0,0.0,2,2,no,2023
1029,Employee_28,unassigned,90713.0,2015-01-17,Unknown,Average,23.0,11.0,0.0,10,10,no,2015
1030,unknown,HR,76843.0,2023-11-18,Male,Poor,34.0,5.0,0.0,1,2,no,2023
1031,Employee_30,Sales,46371.0,2018-05-28,Male,none,32.0,7.2631578947368425,0.0,7,7,no,2018
1032,Employee_31,Marketing,32049.0,2021-01-14,Other,Good,42.0,9.0,1.0,4,4,yes,2021
1033,unknown,Marketing,50932.0,2021-11-29,Female,Poor,2.0,10.0,0.0,3,4,no,2021
1034,Employee_33,IT,91434.0,2017-12-05,Unknown,Good,39.0,4.0,0.0,7,8,no,2017
1035,Employee_34,Sales,37400.0,2022-01-09,Other,Average,43.0,5.0,0.0,3,3,no,2022
1036,Employee_35,Marketing,45151.0,2020-11-16,Male,Excellent,11.0,12.0,0.0,4,5,yes,2020
1037,Employee_36,Marketing,34499.0,2019-11-04,Female,Average,26.864864864864863,3.0,0.0,5,6,no,2019
1038,unknown,Sales,89040.0,2017-11-26,Other,Poor,26.864864864864863,6.0,0.0,7,8,no,2017
1039,Employee_38,Sales,42874.0,2021-05-16,Female,Good,26.864864864864863,3.0,0.0,4,4,no,2021
1040,Employee_39,IT,35539.0,2021-12-19,Other,Good,16.0,11.0,0.0,3,4,yes,2021
1041,Employee_40,Sales,91267.0,2015-10-29,Female,none,28.0,7.2631578947368425,0.0,9,10,no,2015
1042,Employee_41,Operations,32557.0,2015-06-30,Male,Good,25.0,5.0,1.0,10,10,no,2015
1043,unknown,HR,32200.0,2016-08-29,Unknown,none,40.0,9.0,0.0,8,9,no,2016
1044,Employee_43,HR,70617.87234042553,2023-09-06,Male,Excellent,49.0,6.0,0.0,1,2,no,2023
1045,Employee_44,HR,107505.0,2016-11-30,Unknown,Poor,28.0,12.0,0.0,8,9,no,2016
1046,Employee_45,Operations,91135.0,2017-09-19,Female,none,26.864864864864863,7.2631578947368425,0.0,7,8,no,2017
1047,Employee_46,HR,68467.0,2018-02-13,Other,Excellent,35.0,9.0,0.0,7,7,yes,2018
1048,Employee_47,HR,116831.0,2015-07-10,Male,Good,26.864864864864863,7.0,0.0,10,10,no,2015
1049,Employee_48,Sales,52399.0,2021-04-19,Unknown,Good,34.0,7.2631578947368425,0.0,4,4,no,2021
1050,Employee_49,IT,116416.0,2017-09-07,Male,Excellent,47.0,0.0,0.0,7,8,no,2017
